"artist","name","start time","end time","genre","bpm"
"","16.5.2015","16.5.2015 0:50:20","16.5.2015 11:20:10","",""
"Yolanda Be Cool, Dcup","We No Speak Americano (Original Mix)","0:52:35","1:02:23","Electro Swing","125"
"Kiss Me Yesterday","Downtown Stoned (The Swing Bot Remix)","0:58:35","1:05:43","Electro Swing","126"
"Feel Good Productions","Gipsyland (Globe By (DJ Max & Gabb) Remix)","1:02:50","1:09:50","Electro Swing","128"
"Anastasia vs. Dumonde","Fly To the Sky (O.P. Meets Dumonde) - 7A","1:05:51","1:14:54","Trance","140"
"Ayla","Outburst - 9A","1:09:50","1:24:08","Trance","140"
"Edu Kehäkettunen","Kullii - 9A","1:28:12","1:34:09","","105"
"Arrakis","The Spice (New Club Mix) - 5A","1:36:22","1:58:28","Trance","138"
"Accu","Oon Oon - 3A","1:55:13","2:03:52","Rock","135"
"Ralph Fridge","Paradise (Nu-Gray Mix) - 6A","2:02:46","2:08:28","Trance","137"
"B.B.E.","7 Days And One Week (Club Mix) - 3A","2:04:24","2:12:15","Trance","138"
"Joy Kitikonti","Joyenergizer (Phisical Mix) - 8A","2:08:28","2:17:32","Trance","138"
"R.E.L.O.A.D","I Never Lose (Original Mix)","2:13:13","2:27:29","Trance","138"
"RMB","Spring (Microwave Prince Mix) - 9A","2:17:32","2:46:22","Trance","165"
"U 96","Love Religion - 4A","2:30:46","2:49:20","Dance Music (Bacalao","162"
"Multimediakonsultit","Tarjousmaksalaatikko - 8A","2:48:38","2:53:08","Alternative","126"
"Umek","Destructible Enviroment (Original Mix) - 6A","2:49:20","2:50:58","Techno","126"
"Humate","Love Stimulation - 3A","2:50:58","2:56:52","Electronica","139"
"Chakra","Love Shines Through (Original Mix) - 8A","2:54:05","3:02:03","Trance","139"
"Bobina with Betsie Larkin","You Belong To Me (Jorn van Deynhoven Remix)","2:56:52","3:06:10","Trance","137"
"Airscape","L'Esperanza (Jordan Suckley & James Rigby Remix) - 5A","3:02:03","3:11:44","Trance","138"
"Aly & Fila","Rising Sun (Bjorn Akesson Remix)","3:06:19","3:19:02","Trance","138"
"Daniel Kandi","#Trancefamily (Original Mix)","3:12:16","3:14:42","Trance","138"
"Energy 52","Cafe Del Mar (Three 'N One Remix) - 4A","3:37:04","4:06:59","Trance","133"
"PPK","Resurection (Original Mix) - 7A","3:42:52","3:59:09","Electronica","140"
"DeLaFlame","Not Bailamos (Original Mix) - 10A","4:12:53","4:19:30","Tech House","128"
"Drauf & Dran","Gospletrain (Original Mix) - 11A","4:17:00","4:20:48","Tech House","128"
"Slam","Ghost Song (Joris Voorn Remix) - 2A","4:19:30","4:23:58","House","129"
"Markantonio","Start It Wave (Original Mix)","4:21:43","4:28:21","Techno","127"
"Alberto Pascual","Bailando (Original Mix) - 2A","4:23:58","4:27:27","Techno","127"
"Cari Lekebusch, Joseph Capriati","Napoli 4am (Original Mix) - 9A","4:27:27","4:42:48","Techno","127"
"Multimediakonsultit","Tarjousmaksalaatikko - 8A","4:28:21","4:43:01","Alternative","126"
"Darude","Sandstorm [Original Version] - 9A","4:45:09","4:58:26","Rap & Hip-Hop","136"
"U96","1-900-love - 9A","4:51:53","4:58:26","Electronica & Dance","135"
"Lemon & Einar K","We Are What We Are (Original Mix)","5:06:36","5:11:21","Trance","136"
"Orkidea","Unity (SubStance Pure Remix) - 4A","5:08:11","5:16:25","Trance","136"
"Sue McLaren, Solis & Sean Truby","Closer To The Earth (John O'Callaghan Remix) - 11A","5:11:21","5:20:19","Trance","136"
"Age of Love","The Age of Love (Mr Sam vs Fred Baker Remix) - 8A","5:16:54","5:24:25","Trance","136"
"Mario Piu","Communication (Lizard man mix) - 7A","5:20:45","5:28:38","Hard Dance","136"
"Storm","Time To Burn (Mauro Picotto Mix) - 7A","5:24:44","5:34:17","Techno","136"
"Die Antwoord","Enter the Ninja","5:35:42","6:12:47","",""
"Tommy Pulse","The Answer (Danny V Remix) - 6A","6:04:38","6:16:00","Hard Dance","145"
"Steve Hill Vs. Technikal","Theme From HTML (Nomad Remix) - 6A","6:13:24","6:20:06","Hard Dance","145"
"Chris Dynasty","No Bass Wasted - Original Mix - 7A/6A","6:17:56","6:24:52","Hard Dance","144"
"YOJI vs Remo-con","Samulight (Original Mix) - 1A","6:20:06","6:28:19","Hard Dance","143"
"Shock:Force","Erase The Competition (Original Mix) - 4A","6:24:53","6:32:06","Hard Dance","142"
"Kevin Energy & Nick the Kid","Live Your Passion - 2A","6:28:19","6:35:09","Hard Dance","142"
"Tranz-Linquants","Like 2 Fuck - Original Mix - 1A","6:32:06","6:37:43","Hard Dance","140"
"JTB & DJ Chuck-E Vs Tranz-Linquants","Emotional Level - 9A","6:35:09","6:43:21","Hard Dance","140"
"BK, Vinylgroover","Microwave (2012 Remix) - 6A","6:37:57","6:45:25","Hard Dance","140"
"BK, Fergie","Hoovers & Horns (Original Mix) - 8A","6:43:21","6:54:06","Hard Dance","140"
"BK, Fergie","House Of Pain (Original Mix) - 9A","6:45:25","6:54:04","Hard Dance","140"
"G-Club, Banda Sonora","Guitarra G (Funkagenda Redux) - 4A","7:44:13","8:21:20","House","130"
"Tradelove","Whoomp! (Club Mix) - 7A","8:15:47","8:22:31","House","128"
"Tradelove","Street Player (Club Mix) - 7A","8:22:39","8:33:51","House","128"
"Rescue & DJ Mes","How We Do (Original Mix) - 3A","8:33:51","8:48:31","House","128"
"Reel 2 Real & The Mad Stuntman","I Like to Move It (Mastiksoul Remix) - 5A","8:38:19","8:55:56","House","128"
"8 Wonders","Embrace It - 8A","8:51:41","8:59:53","Trance","130"
"Yuri Alexeev & BiohazArt","Viejo Expreso (BiohazArt Mix)","9:05:52","9:10:23","Techno","129"
"Worakls","Future (Alex Di Stefano Remix)","9:07:07","9:13:15","Techno","129"
"Pjotr G","Remote Execute (Advanced Human Remix) - 5A","9:10:23","9:17:17","Techno","129"
"Orjan Nilsen","Viking (Original Mix) - 6A","9:17:33","9:24:46","Trance","129"
"Orjan Nilsen","Amsterdam (Original Mix)","9:20:32","9:27:44","Trance","129"
"Aaron Camz","Life Came Crashing Down (Danilo Ercole Remix)","9:25:00","9:52:44","Trance","130"
"Showtek feat. We Are Loud! & Sonny Wilson","Booyah (Original Mix) - 2A","9:53:25","9:58:25","Electro House","128"
"Sidney Samson & Martin Garrix","Torrent (Original Mix) - 11A","9:55:05","10:01:22","Electro House","128"
"Timmy Trumpet","Freaks (Original Mix) - 9A","9:58:44","10:02:40","Electro House","128"
"Mano Meter","Karussell (Original Mix)","10:01:22","10:21:32","Electro Swing","128"
"Roger Whittaker","Finnish Whistler - 8A","10:02:40","10:17:21","Top 40","112"
"Rammstein","Sehnsucht","10:17:59","10:26:05","Metal","140"
"The Huligans","Walking Disaster","10:21:32","10:34:54","Rock",""
"Rammstein","Bück Dich","10:30:29","10:41:24","Metal",""
"Andy Whitby, Karlston Khaos","One Middle Finger - Original Mix - 7A","10:38:55","10:45:15","Hard Dance","150"
"Energy Syndicate, Costa Pantazis","Rave Detonator (Original Mix) - 7A","10:41:40","10:48:42","Hard Dance","150"
"Kidd Kaos","I Am Digital (Toxic Remix) - 4A","10:45:34","11:01:36","Hard Dance","150"
"Multimediakonsultit","Tarjousmaksalaatikko - 8A","11:01:16","11:20:10","Alternative","126"
"Sian","Beta Decay (Original Mix) - 9B","11:01:36","11:20:10","Techno","126"
